Link,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=754348a9c3f08d66,[Engineering] Full Stack Developer,"Miso, inc 서울",,"이런 분과 함께하고 싶습니다] 개발 경력 3년 이상 Ruby, Python, Go, Node JS 중 하나 이상의 언어에 능숙하신 분 Ruby... Data Science: Go, Python Collaboration..."
https://kr.indeed.com/viewjob?jk=f6c6ea351bb0f996,"AI개발자, JAVA개발자, ERP컨설턴트 정규직",시너지시스템즈 서울 서초구,,"담당업무] 인사회계 컨설턴트, 프로젝트 매니져 [근무부서] 컨설팅팀 [AI - 자격요건] 기술자격 : Python, Elastcsearch, TensorFlow 개발 기술보유 우대사항 : 전공자/경력자우대, 석/박사우대..."
https://kr.indeed.com/viewjob?jk=89f33b55066796da,Machine Learning Lithography Modeling Pr...,Synopsys 경기도 성남,,Knowledge of software development methodologies... Python scripting language are desired... required Very good...
https://kr.indeed.com/viewjob?jk=0f1bc162bd9541c0,[크리스베럴 주식회사]보안컨설팅,크리스베럴 서울 잠실동,,"Mobile Vulnerability Assessments(Pen Testing) 2. Programming in Python, C/C++, JAVA etc 3. Capable of Analysis and Research..."
https://kr.indeed.com/viewjob?jk=872c5840463da7ae,[전문연구요원] Programming - 게임 애니메이션 R&D,엔씨소프트 2.7 성남 판교역,,"C++ 프로그래밍 스킬 및 경험 - 커뮤니케이션 능력 우대사항 - 게임동아리 활동 및 게임 개발 경험 - Python, Javascript 등 스크립트 언어 경험 - 물리 시뮬레이션에 대한 이해 및 개발 경험 - 기계학습..."
https://kr.indeed.com/viewjob?jk=490fe8dc092975e4,사업부전략기획/관리담당 경력 정규직,맨코어 서울 강남구,,GA 등 데이터 추출/분석/시각화 툴 활용 역량이 뛰어나신 분 - Python 또는 R을 활용한 데이터 분석 경험이 있으신 분 맨코어 사업부전략기획... 툴 활용 역량이 뛰어나신 분 - Python 또는 R을 활용한 데이터 분석...
https://kr.indeed.com/viewjob?jk=d56db98820a1324c,스크립트 개발 프로그래머,Nexon 성남 분당구,,"류하여 함께 도전해나갈 분들을 기다리고 있습니다. [주요업무] - JavaScript 및 기타(Lua, Python) 스크립트 엔진 연동, 프로젝트에 맞게 수정 및 최적화 - MOD-CORE 개발시 필요한 스크립팅 개발..."
https://kr.indeed.com/viewjob?jk=80d3108dade97b0f,[Engineering] Back-end Developer,"Miso, inc 서울",,"이런 분과 함께하고 싶습니다] 백엔드 개발 경력 3년 이상 Ruby, Python, Go, Node.js 중 하나 이상의 언어에 능숙하신 분 새로운... Data Science: Go, Python Collaboration..."
https://kr.indeed.com/viewjob?jk=5d2bbe4c649db4f4,DevOps Engineer,Toss 서울 강남구,,"요건 - 4년 이상의 소프트웨어 엔지니어링 혹은 시스템 운영 경험이 있으신 분 - C, Golang, Python, Javascript 중 하나 이상의 언어에 능숙하신 분 - 대규모의 분산환경에서 ELK 기반 metric..."
https://kr.indeed.com/viewjob?jk=a0dda478567db352,"(주)트윔 개발자(경력직) 빅데이터,영상처리,머신비전/AI 딥러닝",트윔 경기도 화성,,"자기주도적으로 진행한 경험 - Python/C/C++ 능통자 - 데이터... RNN 등 딥러닝 이론 및 알고리즘 유경험자 - C/C++, Java, Python/TensorFlow/Caffe 사용가능자 - Matlab/R 분석..."
https://kr.indeed.com/viewjob?jk=b19c47ac5fc6e4c5,"Technical Account Manager, OEM Android P...",Google 4.3 서울,,"an object-oriented programming language (e.g., Java, C++ or Python). About the job The Android Partner Engineering team..."
https://kr.indeed.com/viewjob?jk=1f9b74d4ce4bfeee,Field Application Engineer,에이에스엠엘코리아 경기도 화성,,Unix OS - Preferred to have high-level programming skill for Python language. 인터넷·IT·통신·모바일·게임>소프트웨어·하드웨어>소프트웨어|전자·기계·기술·화학...
